iid,id,gender,condtn,wave,order,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field_cd,race,imprace,imprelig,goal,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1
1,1,0,1,1,4,11,0,0.14,0,27,2,35.00,20.00,20.00,20.00,0.00,5.00,0,6.00,8.00,8.00,8.00,8.00,6.00,7.00,4.00,2,21,1.00,4,2,4,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15.00,20.00,20.00,15.00,15.00,15.00,6,8,8,8,7
1,1,0,1,1,3,12,0,0.54,0,22,2,60.00,0.00,0.00,40.00,0.00,0.00,0,7.00,8.00,10.00,7.00,7.00,5.00,8.00,4.00,2,21,1.00,4,2,4,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15.00,20.00,20.00,15.00,15.00,15.00,6,8,8,8,7
1,1,0,1,1,10,13,1,0.16,1,22,4,19.00,18.00,19.00,18.00,14.00,12.00,1,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,1,21,1.00,4,2,4,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15.00,20.00,20.00,15.00,15.00,15.00,6,8,8,8,7
1,1,0,1,1,5,14,1,0.61,0,23,2,30.00,5.00,15.00,40.00,5.00,5.00,1,7.00,8.00,9.00,8.00,9.00,8.00,7.00,7.00,2,21,1.00,4,2,4,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15.00,20.00,20.00,15.00,15.00,15.00,6,8,8,8,7
1,1,0,1,1,7,15,1,0.21,0,24,3,30.00,10.00,20.00,10.00,10.00,20.00,1,8.00,7.00,9.00,6.00,9.00,7.00,8.00,6.00,2,21,1.00,4,2,4,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15.00,20.00,20.00,15.00,15.00,15.00,6,8,8,8,7
1,1,0,1,1,6,16,0,0.25,0,25,2,50.00,0.00,30.00,10.00,0.00,10.00,1,7.00,7.00,8.00,8.00,7.00,7.00,7.00,6.00,2,21,1.00,4,2,4,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15.00,20.00,20.00,15.00,15.00,15.00,6,8,8,8,7
1,1,0,1,1,1,17,0,0.34,0,30,2,35.00,15.00,25.00,10.00,5.00,10.00,0,3.00,6.00,7.00,5.00,8.00,7.00,2.00,1.00,2,21,1.00,4,2,4,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15.00,20.00,20.00,15.00,15.00,15.00,6,8,8,8,7
1,1,0,1,1,2,18,0,0.50,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6.00,7.00,5.00,6.00,8.00,6.00,7.00,5.00,2,21,1.00,4,2,4,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15.00,20.00,20.00,15.00,15.00,15.00,6,8,8,8,7
1,1,0,1,1,8,19,1,0.28,0,28,2,50.00,0.00,25.00,10.00,0.00,15.00,1,7.00,7.00,8.00,8.00,8.00,9.00,6.50,8.00,2,21,1.00,4,2,4,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15.00,20.00,20.00,15.00,15.00,15.00,6,8,8,8,7
1,1,0,1,1,9,20,0,-0.36,0,24,2,100.00,0.00,0.00,0.00,0.00,0.00,0,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,2,21,1.00,4,2,4,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15.00,20.00,20.00,15.00,15.00,15.00,6,8,8,8,7
2,2,0,1,1,10,11,0,0.29,1,27,2,35.00,20.00,20.00,20.00,0.00,5.00,0,8.00,7.00,6.00,9.00,7.00,4.00,7.00,2.00,2,24,1.00,2,2,5,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45.00,5.00,25.00,20.00,0.00,5.00,7,5,10,8,3
2,2,0,1,1,9,12,0,0.18,1,22,2,60.00,0.00,0.00,40.00,0.00,0.00,0,7.00,6.00,10.00,6.00,6.00,5.00,8.00,4.00,2,24,1.00,2,2,5,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45.00,5.00,25.00,20.00,0.00,5.00,7,5,10,8,3
2,2,0,1,1,6,13,0,0.10,0,22,4,19.00,18.00,19.00,18.00,14.00,12.00,1,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,2,24,1.00,2,2,5,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45.00,5.00,25.00,20.00,0.00,5.00,7,5,10,8,3
